Key,Context,Character Limit,en,es,fr,it,pt,de,pl,nl,en-GB,he,sl
Name,The display name of the app,3 to 25,QuickBooks sync,Sincronización QuickBooks,Synchroniser QuickBooks,Sincronizza QuickBooks,Sincronizar QuickBooks,QuickBooks-Synchronisier,QuickBooks-synchronisatie,QuickBooks-synchronisatie,,סנכרון QuickBooks,
Short description,A short description of the app. Appears in the app cards in the apps list and in the app info page,Max 260,Connect your day-to-day business activity with your accounting platform to save time and automate your reporting process ,Conecte la actividad cotidiana de su negocio con su plataforma de contabilidad para ahorrar tiempo y automatizar el proceso de los informes,"Connectez-vous à la plateforme de comptabilité de votre choix, pour vous simplifier votre quotidien professionnel et en automatisant vos rapports.",Connetti QuickBooks alla tua attività giornaliera aziendale con la tua piattaforma di contabilità per risparmiare tempo e automatizzare il processo di rendocontazizzazione.,Conecte sua atividade diária com nossa plataforma de contabilidade para economizar tempo e automatizar seu processo de relatório,"Verbinden Sie Ihre täglichen Geschäftsaktivitäten mit Ihrer Buchhaltungsplattform, um zeit zu sparen und automatisieren Sie Ihren Berichtprozess.",Verbind uw dagelijkse bedrijfsactiviteiten met uw boekhoudplatform om tijd te besparen en uw rapportageproces te automatiseren,Verbind uw dagelijkse bedrijfsactiviteiten met uw boekhoudplatform om tijd te besparen en uw rapportageproces te automatiseren,,"חברו את הפעילות העסקית היומית שלכם לפלטפורמה להנהלת החשבונות שלכם, חסכו זמן יקר והפכו את כל תהליך יצירת הדו״חות לאוטומטי.",
App features,,"up to 10 features, max feature length 500","Import customers and items from Quickbooks to our platform;Export existing Payments and Invoices from our platform to Quickbooks;Enable ongoing sync of Payments and Paid invoices from our platform to Quickbooks;Enable ongoing sync of all clients, Products, and Taxes associated with Payments and Paid Invoices;Enable ongoing sync of all Products from Quicknooks to our Platform;","Importe clients y artículos de QuickBooks a nuestra plataforma;Exporte pagos y facturas existentes desde nuestra plataforma a QuickBooks;Permita la sincronización continua de pagos y facturas desde nuestra plataforma a QuickBooks;Permita la sincronización continua de todos los clientes, productos e impuestos asociados con los pagos y las facturas pagadas;Permita la sincronización continua de todos los productos desde QuickBooks a nuestra plataforma;","Importez vos listing clients et articles vers notre plateforme.;Exportez vos paiements et factures depuis notre plateforme vers Quickbooks.;Effectuez la synchronisation des paiements perçus et des factures réglées depuis notre plateforme vers Quickbooks.;Effectuez la synchronisation de votre listing clients, articles, et taxes associés à des paiements et des factures réglées.;Effectuez la synchronisation de tous vos articles depuis Quickbooks vers notre plateforme.;","Importa clienti e articoli da Quickbooks all nostra piattaforma;Esporta Pagamenti esistenti e Fatture dalla nostra piattaforma s Quickbooks;Abilita sincronizzazione dei PAgamenti e Fatture pagate dalla nostra piattaforma a Quickbooks;Abilita sincronizzazione di tutti i clienti, Prodotti, e Tasse associati con Pagamenti e Fatture pagate;Abilita sincronizzazione di tutti i Prodotti da Quickbooks alla nostra Piattaforma;","Importar seus clientes e itens do QuickBooks para nossa plataforma;Exportar pagamentos e faturas existentes de nossa plataforma ao QuickBooks;Permitir sincronização em andamento de pagamentos e faturas pagas a partir de nossa plataforma ao Quicbooks;Permitir sincronização em andamento de todos os clientes, produtos e impostos associados aos pagamentos e faturas pagas;Permitir sincronização em andamento de todos os produtos do Quicknooks para nossa plataforma;","Importieren Sie Kunden und Artikel von Quickbooks auf unsere Plattform;Exportieren Sie bestehende Zahlungen und Rechnungen von unserer Plattform nach Quickbooks;Ermöglichen Sie die fortlaufende Synchronisierung von Zahlungen und bezahlten Rechnungen von unserer Plattform mit Quickbooks;Aktivieren Sie die laufende Synchronisierung aller Kunden, Produkte und Steuern, die mit Zahlungen und bezahlten Rechnungen verbunden sind;Ermöglichen Sie die fortlaufende Synchronisierung aller Produkte von Quickbooks mit unserer Plattform;","Klanten en items importeren van Quickbooks naar ons platform;Bestaande betalingen en facturen exporteren van ons platform naar Quickbooks;Voortdurende synchronisatie van betalingen en betaalde facturen van ons platform naar Quickbooks mogelijk maken;Doorlopende synchronisatie mogelijk maken van alle klanten, producten en belastingen gekoppeld aan betalingen en betaalde facturen;Doorlopende synchronisatie van alle producten van Quicknooks naar ons platform mogelijk maken;","Klanten en items importeren van Quickbooks naar ons platform;Bestaande betalingen en facturen exporteren van ons platform naar Quickbooks;Voortdurende synchronisatie van betalingen en betaalde facturen van ons platform naar Quickbooks mogelijk maken;Doorlopende synchronisatie mogelijk maken van alle klanten, producten en belastingen gekoppeld aan betalingen en betaalde facturen;Doorlopende synchronisatie van alle producten van Quicknooks naar ons platform mogelijk maken;",,"בצעו יבוא של לקוחות ופריטים מ Quickbooks אל הפלטפורמה שלנו.;בצעו יצוא של חשבוניות ותשלומים קיימים מהפלטפורמה שלנו אל  Quickbooks.;אפשרו סינכרון שוטף של חשבוניות שנפרעו ותשלומים שהתקבלו, מהפלטפורמה שלנו לQuickbooks.;אפשרו סינכרון שוטף של לקוחות, מוצרים ומיסים שמשוייכים לתשלומים וחשבוניות שנפרעו.;אפשרו סינכרון שוטף של כל המוצרים מQuickbooks אל הפלטפורמה שלנו.;",
Long description,,Max 380,Automate & sync your accounting,Automatice y sincronice su contabilidad,Automatisez et synchronisez votre comptabilité,Automatizza e sincronizza la tua contabilità,Automatize e sincronize seu faturamento,Buchhaltung automatisieren und synchronisieren,Automatiseer en synchroniseer uw boekhouding,Automatiseer en synchroniseer uw boekhouding,,סנכרנו והפכו את כל הנהלת החשבונות שלכם לאוטומטית,
